time,x,y,z
0.065979,0.0,0.0,9.65278
0.0769958,0.0,-0.0766094,9.57617
0.0879822,-0.0766094,-0.0383047,9.95922
0.098999,-0.0766094,-0.0766094,9.92091
0.108978,0.114914,-0.0766094,9.69109
0.119995,-0.0766094,0.0,9.88261
0.130981,-0.268133,-0.114914,9.8443
0.141998,-0.153219,-0.114914,9.76769
0.151978,-0.0383047,-0.153219,9.69109
0.161987,-0.0766094,0.0383047,9.72939
0.173004,0.0,-0.0383047,9.69109
0.18399,-0.114914,0.0,9.95922
0.194,-0.114914,-0.0383047,9.72939
0.204987,0.153219,-0.114914,9.69109
0.214996,-0.0766094,-0.153219,9.76769
0.279999,-0.114914,-0.0383047,9.88261
0.290985,-0.0383047,0.0,9.88261
0.302002,-0.229828,-0.0766094,9.72939
0.311981,-0.114914,-0.153219,9.72939
0.326996,-0.0766094,-0.0383047,9.76769
0.337006,0.0,-0.0383047,9.8443
0.348999,0.0,-0.0766094,9.65278
0.358978,-0.0383047,-0.0766094,9.8443
0.369995,-0.0766094,-0.0383047,9.49956
0.380981,-0.191523,-0.0766094,9.65278
0.391998,-0.191523,-0.0766094,9.49956
0.401001,0.0383047,0.0383047,9.57617
0.411987,-0.0766094,-0.0383047,10.0358
0.423004,-0.114914,-0.0383047,9.72939
0.488983,-0.114914,-0.0383047,9.99752
0.5,-0.0383047,-0.0383047,9.99752
0.510986,-0.114914,0.0,9.72939
0.520996,-0.0383047,-0.0383047,9.88261
0.531982,0.0,-0.191523,9.76769
0.541992,-0.114914,-0.0766094,9.76769
0.552979,-0.0766094,-0.153219,9.95922
0.562988,-0.0383047,-0.0766094,9.69109
0.578003,-0.0766094,-0.0766094,9.76769
0.588989,-0.0766094,0.0,9.76769
0.600006,-0.0383047,-0.0383047,9.88261
0.609985,-0.0383047,-0.0766094,9.88261
0.621002,-0.0766094,-0.153219,9.72939
0.631989,0.0766094,-0.0383047,9.88261
0.697998,-0.0383047,-0.0383047,9.806
0.708984,0.0,-0.0766094,9.76769
0.720001,-0.0766094,-0.0766094,9.72939
0.729004,-0.0766094,0.0,9.57617
0.73999,-0.114914,-0.0766094,9.806
0.751007,-0.191523,-0.153219,9.88261
0.761993,-0.0766094,-0.0383047,9.65278
0.772003,-0.114914,0.0,9.88261
0.781982,0.0,-0.0383047,9.806
0.792999,-0.0383047,-0.0766094,9.72939
0.803986,-0.0383047,-0.0383047,9.88261
0.813995,-0.114914,-0.0383047,9.8443
0.828979,0.0,0.0383047,9.72939
0.839996,0.0,-0.0383047,9.88261
0.963989,-0.114914,-0.153219,9.8443
0.975983,-0.0383047,-0.0383047,9.72939
0.985992,-0.114914,-0.0383047,9.8443
0.996979,-0.0383047,-0.0766094,9.69109
1.008,0.0383047,-0.0766094,9.49956
1.01898,-0.114914,-0.0766094,9.46126
1.02798,0.0,0.0,9.99752
1.039,0.0,-0.0766094,9.8443
1.04999,-0.0766094,-0.0383047,9.806
1.061,0.0766094,-0.0383047,9.88261
1.07001,-0.114914,0.0,10.304
1.08099,-0.153219,-0.153219,10.8785
1.09198,0.268133,0.0766094,13.1768
1.103,0.612875,-0.344742,7.96737
1.11301,-0.957617,-0.497961,12.2192
1.17899,0.344742,0.114914,10.687
1.189,0.306437,-0.268133,10.6104
1.20398,-0.229828,-1.07253,10.3423
1.215,-0.268133,-0.957617,9.42295
1.22699,-0.65118,-0.497961,7.43111
